id,left,top,right,bottom,NYECount,Dec1count
93,1089969.889,5303156.1482,1099969.889,5293156.1482,,
94,1089969.889,5293156.1482,1099969.889,5283156.1482,,
95,1089969.889,5283156.1482,1099969.889,5273156.1482,,
96,1089969.889,5273156.1482,1099969.889,5263156.1482,,
97,1089969.889,5263156.1482,1099969.889,5253156.1482,,
98,1089969.889,5253156.1482,1099969.889,5243156.1482,,
99,1089969.889,5243156.1482,1099969.889,5233156.1482,,
100,1089969.889,5233156.1482,1099969.889,5223156.1482,,
101,1089969.889,5223156.1482,1099969.889,5213156.1482,,
102,1089969.889,5213156.1482,1099969.889,5203156.1482,,
103,1089969.889,5203156.1482,1099969.889,5193156.1482,,
104,1089969.889,5193156.1482,1099969.889,5183156.1482,,
105,1089969.889,5183156.1482,1099969.889,5173156.1482,,
106,1089969.889,5173156.1482,1099969.889,5163156.1482,,
107,1089969.889,5163156.1482,1099969.889,5153156.1482,,
108,1089969.889,5153156.1482,1099969.889,5143156.1482,,
109,1089969.889,5143156.1482,1099969.889,5133156.1482,,
110,1089969.889,5133156.1482,1099969.889,5123156.1482,,
111,1089969.889,5123156.1482,1099969.889,5113156.1482,,
112,1089969.889,5113156.1482,1099969.889,5103156.1482,,
113,1089969.889,5103156.1482,1099969.889,5093156.1482,,
114,1089969.889,5093156.1482,1099969.889,5083156.1482,,
115,1089969.889,5083156.1482,1099969.889,5073156.1482,,
116,1089969.889,5073156.1482,1099969.889,5063156.1482,,
117,1089969.889,5063156.1482,1099969.889,5053156.1482,,
118,1089969.889,5053156.1482,1099969.889,5043156.1482,,
119,1089969.889,5043156.1482,1099969.889,5033156.1482,,
120,1089969.889,5033156.1482,1099969.889,5023156.1482,,
121,1089969.889,5023156.1482,1099969.889,5013156.1482,,
122,1089969.889,5013156.1482,1099969.889,5003156.1482,,
123,1089969.889,5003156.1482,1099969.889,4993156.1482,,
124,1089969.889,4993156.1482,1099969.889,4983156.1482,,
125,1089969.889,4983156.1482,1099969.889,4973156.1482,,
126,1089969.889,4973156.1482,1099969.889,4963156.1482,,
127,1089969.889,4963156.1482,1099969.889,4953156.1482,,
128,1089969.889,4953156.1482,1099969.889,4943156.1482,,
129,1089969.889,4943156.1482,1099969.889,4933156.1482,,
130,1089969.889,4933156.1482,1099969.889,4923156.1482,921563.0844,484752.836
131,1089969.889,4923156.1482,1099969.889,4913156.1482,1623241.5244,853843.808
132,1089969.889,4913156.1482,1099969.889,4903156.1482,1919392.7823,1009622.793
133,1089969.889,4903156.1482,1099969.889,4893156.1482,4828993.514,2540106.415
134,1089969.889,4893156.1482,1099969.889,4883156.1482,2893207.6599,1521860.677
